29.1	23.5	26.3	-999	-999	88	1.8	-999	11.5	0.6	4.4
29.6	22.5	26.05	-999	-999	88	1.5	-999	17.1	0	4.8
29.1	23.2	26.15	-999	-999	82	1.8	-999	13.6	2	3.7
28.1	23.5	25.8	-999	-999	92	1.5	-999	11.7	7.7	2
28.2	23.8	26	-999	-999	97	2	-999	8.4	9.9	3.2
28.1	24.3	26.2	-999	-999	83	1.9	-999	9.7	0	3.2
29.2	23.9	26.55	-999	-999	83	1.9	-999	13.3	3.3	4
29.2	23.8	26.5	-999	-999	92	1.6	-999	14.1	1.6	3.8
25.2	23.6	24.4	-999	-999	94	1.1	-999	3.4	15.5	0.2
29.4	23.5	26.45	-999	-999	90	1.94416	-999	13.2	5.1	3.1
28.7	24.5	26.6	-999	-999	95	1.7574	-999	9.4	2	2.4
29.6	24.4	27	-999	-999	89	2.48124	-999	15.8	0	5.4
28.5	23.6	26.05	-999	-999	85	2.11816	-999	11	0.9	3.2
28.9	23.4	26.15	-999	-999	87	1.48712	-999	11.6	0.1	3.5
30.6	23.4	27	-999	-999	80	1.74928	-999	16.5	0.4	4.4
29.5	23	26.25	-999	-999	87	0.92916	-999	10.3	11.3	3.2
29.7	23.7	26.7	-999	-999	94	0.78532	-999	13	0	2.7
28.6	24	26.3	-999	-999	89	1.5428	-999	9.9	0.7	5
31	23.7	27.35	-999	-999	89	1.1078	-999	20.8	0	5
31.6	23	27.3	-999	-999	84	0.94424	-999	20.7	0	5
30.8	23.4	27.1	-999	-999	84	1.58804	-999	17.9	0	5.9
27.5	23.3	25.4	-999	-999	88	1.6878	-999	8.4	0	3.2
29	24	26.5	-999	-999	85	1.68896	-999	15.5	0	5.6
27.9	23.5	25.7	-999	-999	81	1.48016	-999	8.8	0	3.1
29.7	21.9	25.8	-999	-999	82	1.90008	-999	19.8	0	5.4
29.2	22.5	25.85	-999	-999	87	1.65764	-999	14.5	0	4.1
27.1	22.8	24.95	-999	-999	81	1.91632	-999	8.7	0	3.4
28	22.9	25.45	-999	-999	83	1.93952	-999	11.3	2.8	2.8
27.6	24.3	25.95	-999	-999	93	0.96396	-999	8.9	5.5	2.1
30.7	23	26.85	-999	-999	89	0.80852	-999	18.4	14.1	5.7
30.5	23.8	27.15	-999	-999	88	1.62864	-999	17	0	5
30	23.1	26.55	-999	-999	89	1.2818	-999	16.4	0.6	4.1
26.4	23.8	25.1	-999	-999	89	1.2818	-999	7.8	0.2	2.8
29	23	26	-999	-999	90	1.68084	-999	14.7	1	3.8
27.2	22.5	24.85	-999	-999	92	1.50452	-999	11.3	1	3.2
26.4	21.7	24.05	-999	-999	89	1.62168	-999	8.3	4	1.6
28.8	21.5	25.15	-999	-999	88	1.27716	-999	20.4	0	6
29.5	22.3	25.9	-999	-999	79	1.92908	-999	16.6	0	5.1
29.7	21.9	25.8	-999	-999	82.6	1.5	-999	17.5	0	4.3
29.6	22.7	26.15	-999	-999	87.3	0.8	-999	17.1	0	5.4
28.5	23.2	25.85	-999	-999	88.8	1.9	-999	11.5	0.2	3.3
29.5	24	26.75	-999	-999	83.9	1.8	-999	14.9	0.5	4.3
28.5	22.9	25.7	-999	-999	80.4	1.7	-999	18.2	0	6.5
25.2	24.2	24.7	-999	-999	80.5	2.4	-999	2.6	7.3	0.1
27.8	23.1	25.45	-999	-999	96.8	0.9	-999	7.4	15	1.1
27.5	23.5	25.5	-999	-999	86.2	0.9	-999	10.8	2.5	2.2
29.5	24.2	26.85	-999	-999	89.1	1.3	-999	13.3	0.4	3.2
28.7	23.4	26.05	-999	-999	92.1	1.1	-999	23.1	6.4	3.4
29	24.5	26.75	-999	-999	90.7	0.9	-999	14	4.4	3.1
29.8	24.4	27.1	-999	-999	87.1	1.3	-999	17.3	0	4.8
28.1	23.6	25.85	-999	-999	81.6	1.8	-999	19.3	38.4	6.4
28.4	23	25.7	-999	-999	95.9	2.3	-999	16.1	5.2	2.5
32	23.4	27.7	-999	-999	87.1	1	-999	21.2	0	5.4
30.6	23.5	27.05	-999	-999	87.7	1	-999	16.9	0.2	2.9
30.5	23.3	26.9	-999	-999	92.9	0.9	-999	15.5	0	4.6
31.1	22	26.55	-999	-999	86.8	1.2	-999	24	0	5.9
30.8	22.9	26.85	-999	-999	86.2	1.3	-999	18.4	0	4.8
30.5	24.6	27.55	-999	-999	85	1	-999	19	0.1	5.9
28.6	24.3	26.45	-999	-999	86.3	1.4	-999	14.7	0	3.8
30	23.4	26.7	-999	-999	84.2	1.6	-999	17.9	0.2	5.2
31.1	24.1	27.6	-999	-999	88.5	1.2	-999	20.5	0	6.2
30.5	23.8	27.15	-999	-999	84	2.1	-999	20.9	0	6
29.7	23.7	26.7	-999	-999	82	2	-999	16.2	0.4	4.6
30.2	23	26.6	-999	-999	81	2.2	-999	22.8	1	8
29.5	23.3	26.4	-999	-999	86	1.8	-999	17.2	0	3.8
30.3	23.3	26.8	-999	-999	82	1.4	-999	21.4	0	6
30.7	23.2	26.95	-999	-999	83	1.5	-999	19.7	0.1	5.4
30.7	24.9	27.8	-999	-999	88	0.9	-999	13.4	0	3.2
31	23.8	27.4	-999	-999	84	1.6	-999	24.1	0	7.2
30.5	22.6	26.55	-999	-999	82	1.5	-999	23.1	0	7.3
29.6	22.1	25.85	-999	-999	86	1.4	-999	15.8	0	4.6
29.8	23	26.4	-999	-999	84	1.5	-999	16	0	4.2
29	23.1	26.05	-999	-999	89	1.1	-999	11.5	16	2.6
29	24	26.5	-999	-999	94	1.3	-999	14.1	0.3	3.3
29.3	23.9	26.6	-999	-999	89	1.4	-999	12.7	0.7	3.5
31	24	27.5	-999	-999	89	1.5	-999	19	0	5.4
31	22.9	26.95	-999	-999	90	1.6	-999	20	0	6.4
30.1	22.8	26.45	-999	-999	82	1.4	-999	17.5	0	5
30.6	23.4	27	-999	-999	91	1.4	-999	20.4	0	5.9
29.5	23	26.25	-999	-999	86	1.2	-999	12	0	3
29.1	24	26.55	-999	-999	86	1.1	-999	10.9	1.2	3.2
28.6	23.9	26.25	-999	-999	95	1.5	-999	11.4	3.3	2.9
26.5	23.1	24.8	-999	-999	87	0.7	-999	5.9	2.7	0.6
32	23.7	27.85	-999	-999	92	0.8	-999	16.6	0	3.8
32	23.9	27.95	-999	-999	84	1.1	-999	14.7	7	3.8
28.6	24	26.3	-999	-999	95	1.3	-999	8.1	15.2	1.8
26.3	23.4	24.85	-999	-999	89	1.5	-999	7	6.8	0.8
26.8	22.9	24.85	-999	-999	84	1.9	-999	10.3	0	3.6
27	23.5	25.25	-999	-999	80	1.6	-999	6.2	15.5	2.5
25.2	22.7	23.95	-999	-999	94	0.6	-999	4	20.6	0.2
28.4	23.5	25.95	-999	-999	92	0.7	-999	11	19.1	2.1
29.2	23.5	26.35	-999	-999	85	1.1	-999	14.8	1.1	3.3
