UNIT
"m3"
"m2"
"%"
"Date"
"Entier"
"g"
"kg/kg"
"kg/ha"
"kg/ha/MJ"
"heure"
"hour(dec)"
"Jours"
"kg/ha"
"km"
"d"
"m"
"m/s"
"MJ/m²/d"
"kgPa"
"leave/plant"
"tiller/d/ha"
"mm/d"
"mm"
"mm/jour"
"mm/m"
"m²/Kg"
"Numerique"
"till/ha"
"till/plant"
"g/g"
"g/mm"
"pieds/Ha"
"radian"
"MJ/MJ"
"sans"
"m²/m²"
"°"
"°C"
"kg/ha/d"
"m3/m3"
"Coeff x"
"ha/kg"
"mm/°C jour"
"kg/m3"
"none"
"°C.d"
"spike/ha"
"spike/panic"
"spike/ha"
"g/panicl"
"panicl/plan"
"panicl/ha"
"fraction"
"g/MJ"
"°C.jour"
