UPPER nomcours
"HUM"
"SUNPOSI"
"RUSURF"
"DAYBIOMLEAF"
"MANQUEASSIM"
"DATEENCOURS"
"DECLI"
"LATRAD"
"SUNDISTANCE"
"RGMAX"
"TMOYPREC"
"SUMPP2"
"DEBUTSIMUL"
"FINSIMUL"
"ANDEBUTSIMUL"
"ANFINSIMUL"
"NBANSIM"
"ANNEE"
"MAXNBJSIMULE"
"NBJSEMIS"
"SOMMEDEGRESJOURMAX"
"BIOMTOTSTADEIP"
"PROFRU"
"DATESEMISCALC"
"CAPAREVAP"
"CAPARDE"
"CAPARFE"
"KR"
"VALRFE"
"VALRDE"
"VALRSURF"
"STRUMAX"
"CHANGEPHASE"
"BIOMASSETOTALESTADEF"
"DELTABIOMASSEAERIENN"
"RATIOAERO"
"RATIOFEUILLES"
"SEUILTEMPSSPHASE"
"CHANGESSPHASE"
"NUMSSPHASE"
"CUMPAR"
"PHASEPHOTOPER"
"HAUNGAIN"
"APEXHEIGHTGAIN"
"VITESSERACINAIREDAY"
"PLANTLEAFNUMNEW"
"LEAFDEATHPOP"
"MOBILILEAFDEATH"
"DEMLEAFAREAPLANT"
"DEMSTRUCTLEAFPLANT"
"DEMSTRUCTLEAFPOP"
"DEMSTRUCTSHEATHPOP"
"GROWTHSTRUCTTOTPOP"
"ROOTSYSTSOILSURFPOP"
"ROOTSOILSURFPOP"
"ROOTSYSTVOLPOP"
"GAINROOTSYSTVOLPOP"
"GAINROOTSYSTSOILSURFPOP"
"DEMSTRUCTROOTPOP"
"DEMSTRUCTINTERNODEPLANT"
"DEMSTRUCTINTERNODEPOP"
"DEMSTRUCTPANICLEPLANT"
"PANSTRUCTMASS"
"DEMSTRUCTPANICLEPOP"
"DEMSTRUCTROOTPLANT"
"DEMSTRUCTTOTPOP"
"GROWTHSTRUCTLEAFPOP"
"GROWTHSTRUCTSHEATHPOP"
"GROWTHSTRUCTROOTPOP"
"GROWTHSTRUCTINTERNODEPOP"
"GROWTHSTRUCTPANICLEPOP"
"RESINTERNODEMOBILIDAYPOT"
"GROWTHSTRUCTDEFICIT"
"PANICLESINKPOP"
"DEMPANICLEFILLPOP"
"PANICLEFILDEFICIT"
"RESINTERNODEMOBILIDAY"
"PANICLEFILPOP"
"INCREASERESINTERNODEPOP"
"GROWTHRESINTERNODEPOP"
"GROWTHDRYMATPOP"
"KCL"
"LIRKDF"
"LTRKDF"
"ROOTSYSTSOILSURFPOPOLD"
"ROOTFRONTOLD"
"SDJCORPHASE4"
"NBDAYSSINCEGERMINATION"
"SLAMITCH"
"SLANEW"
"COUNTERNURSERY"
"NURSERYSTATUS"
"CHANGENURSERYSTATUS"
"FLOODWATERGAIN"
"DAF"
"ROOTSYSTVOLPOPOLD"
"VOLRELMACROPORES"
"SIMSTARTGERMIN"
"SIMEMERGENCE"
"SIMSTARTPSP"
"SIMPANINI"
"SIMANTHESIS50"
"SIMSTARTMATU2"
"SIMENDCYCLE"
"DURPHASE1"
"DURPHASE2"
"DURPHASE3"
"DURPHASE4"
"DURPHASE5"
"DURPHASE6"
"CUMCSTRPHASE2"
"CUMCSTRPHASE3"
"CUMCSTRPHASE4"
"CUMCSTRPHASE5"
"CUMCSTRPHASE6"
"CUMFTSWPHASE2"
"CUMFTSWPHASE3"
"CUMFTSWPHASE4"
"CUMFTSWPHASE5"
"CUMFTSWPHASE6"
"CUMICPHASE2"
"CUMICPHASE3"
"CUMICPHASE4"
"CUMICPHASE5"
"CUMICPHASE6"
"ICPHASE2"
"ICPHASE3"
"ICPHASE4"
"ICPHASE5"
"ICPHASE6"
"FTSWPHASE2"
"FTSWPHASE3"
"FTSWPHASE4"
"FTSWPHASE5"
"FTSWPHASE6"
"CSTRPHASE2"
"CSTRPHASE3"
"CSTRPHASE4"
"CSTRPHASE5"
"CSTRPHASE6"
"COEFFSTRESSLOGGING"
"TEMPLAI"
